model_id,hidden_units,accuracy_train,mse_train,accuracy_test,mse_test,accuracy_holdout,mse_holdout
7597,40,0.996041774749756,0.002837257226929,0.9841052889823914,0.0124892443418502,0.9854940176010132,0.0109599903225898
8171,30,0.996470272541046,0.0027780772652477,0.9838509559631348,0.0128780649974942,0.9842678904533386,0.0118256267160177
8474,30,0.9969761967658995,0.0024806901346892,0.9844853281974792,0.0121569689363241,0.9869405627250672,0.0105486018583178
1478,40,0.996756076812744,0.0024838121607899,0.984340488910675,0.0126028163358569,0.9857856631278992,0.0112283322960138
1666,20,0.9948036074638368,0.0038867183029651,0.98199462890625,0.013985026627779,0.9824286699295044,0.0130470134317874
2493,40,0.9966904520988464,0.0025474373251199,0.9840697050094604,0.0127224624156951,0.9851130247116088,0.0114213386550545
5283,40,0.9962142705917358,0.002925400622189,0.9839638471603394,0.0126714259386062,0.9838690757751464,0.012064004316926
6904,20,0.9964524507522584,0.0030508697964251,0.9823766350746156,0.0139312921091914,0.9822381138801576,0.0136641757562756
4679,20,0.9964941143989564,0.0029521146789193,0.9830604791641236,0.0131254298612475,0.983976185321808,0.0122990822419524
8658,30,0.9952500462532043,0.0035366325173527,0.9844552874565125,0.0117633324116468,0.9850000143051147,0.0114130955189466
91,40,0.9969940185546876,0.0023953136987984,0.9836732149124146,0.0129710845649242,0.9849227070808412,0.0119030568748712
738,20,0.9960297346115112,0.0033833456691354,0.9828267693519592,0.013415390625596,0.9831488728523254,0.0124335698783397
1002,30,0.996041774749756,0.0028801036532968,0.9834704399108888,0.013033521361649,0.98372620344162,0.0122948810458183
5451,40,0.9961487650871276,0.0028779667336493,0.983786165714264,0.0128232594579458,0.9850534200668336,0.0116789443418383
9049,20,0.995666801929474,0.0036634139250963,0.9824977517127992,0.0136159006506204,0.9823333621025084,0.013251781463623
9886,20,0.9964345693588256,0.0031132951844483,0.9824904203414916,0.0137516818940639,0.9838334321975708,0.0126126268878579
2995,30,0.9965416789054872,0.0027383703272789,0.9842298030853271,0.0123046208173036,0.985374927520752,0.0112974140793085
2338,20,0.9963749647140504,0.0029206827748566,0.982326865196228,0.0137767316773533,0.9839701652526855,0.0123591888695955
532,30,0.9970178604125975,0.0022334842942655,0.9834471940994264,0.0132235512137413,0.9848631024360656,0.0122387073934078
3424,30,0.9969404935836792,0.0024680108763277,0.9847816228866576,0.012093880213797,0.9858155250549316,0.0108922366052865
4920,30,0.9957678914070128,0.0033498120028525,0.9835594892501832,0.0126843247562646,0.9844762682914734,0.011810977011919
2180,30,0.995821475982666,0.0033215114381164,0.98365581035614,0.0127155845984816,0.984083354473114,0.0119223138317465
5428,20,0.995839297771454,0.0034257629886269,0.9830374717712402,0.0131235644221305,0.9841726422309875,0.0121509162709116
811,20,0.9959225654602052,0.0034134646411985,0.983019232749939,0.0130542824044823,0.9843928217887878,0.0117546850815415
8397,20,0.9965060353279114,0.0029608418699353,0.9821722507476808,0.0139958970248699,0.9839702844619752,0.0125370547175407
3290,40,0.9970356822013856,0.0023737649898976,0.9839518666267396,0.0129136182367801,0.9855119585990906,0.0115839326754212
2991,30,0.9968511462211608,0.002500649774447,0.9834997653961182,0.0129787595942616,0.9859285354614258,0.0109571246430277
9541,30,0.9965595006942748,0.002756358589977,0.98321533203125,0.0129465144127607,0.9848273992538452,0.011399395763874
648,20,0.9961427450180054,0.0030885871965438,0.9821773171424866,0.0138869006186723,0.9834166765213012,0.0126676568761467
2497,40,0.99659526348114,0.0025229500606656,0.98456209897995,0.0122746229171752,0.985357105731964,0.0115760331973433
3543,30,0.9962499737739564,0.0029000795911997,0.9840548634529114,0.0124175632372498,0.9839941263198853,0.0125027727335691
1084,40,0.9966012239456176,0.0026600852143019,0.9843120574951172,0.0123250670731067,0.9859881401062012,0.0112410252913832
9749,40,0.9961904287338256,0.0026446739211678,0.9837959408760072,0.0128329908475279,0.9844523668289183,0.0120181366801261
6575,30,0.9970118403434752,0.0024641512427479,0.9835363030433656,0.0131617467850446,0.9847380518913268,0.0118264527991414
9208,40,0.9963274002075196,0.0029194792732596,0.9839301109313964,0.0126446885988116,0.98524409532547,0.0118948780000209
7066,40,0.9966548085212708,0.0025629587471485,0.9841052889823914,0.012562096118927,0.9852916598320008,0.0111604928970336
9094,20,0.9966726303100586,0.002821210771799,0.9825810194015504,0.0136859491467475,0.9833809733390808,0.0125046372413635
6891,40,0.9967917203903198,0.0024775876663625,0.9849070310592652,0.0120574189350008,0.9861249923706056,0.0109401335939764
997,20,0.9951726198196412,0.0038185934536159,0.9828310608863832,0.0130774760618805,0.985124945640564,0.0115878647193312
3627,30,0.9962202906608582,0.0030008759349584,0.9835159778594972,0.013085258193314,0.9844702482223512,0.0120851695537567
5241,40,0.9971607327461244,0.0022639173548668,0.9845587611198424,0.0122394645586609,0.985726237297058,0.0112887378782033
2423,20,0.99550598859787,0.0035784509964287,0.9824519753456116,0.0132926376536488,0.9835892915725708,0.0123582649976015
7281,30,0.9954940676689148,0.0032512422185391,0.984571635723114,0.0120669528841972,0.9866905212402344,0.0104593625292181
900,30,0.9962440729141236,0.0030193647835403,0.9838631749153136,0.0125112775713205,0.9850476980209352,0.011591968126595
9433,20,0.9955952763557434,0.0035870189312845,0.9813829660415648,0.0142504731193184,0.9829820394515992,0.0127399647608399
2422,30,0.9964404106140136,0.0028752628713846,0.9840306043624878,0.0127073563635349,0.9853214025497437,0.0112437075003981
2083,20,0.9960060119628906,0.0034866614732891,0.982615292072296,0.0133216585963964,0.9832321405410768,0.0128433499485254
662,30,0.9969167709350586,0.0024727194104343,0.9839608669281006,0.0125316083431243,0.9839465022087096,0.0123916128650307
5068,20,0.995660662651062,0.0034824265167117,0.9822096228599548,0.0136916600167751,0.9824344515800476,0.0130257494747638
3373,40,0.9965238571166992,0.0024360409006476,0.9853112697601318,0.0117205083370208,0.987261950969696,0.009893961250782
2328,20,0.9961250424385072,0.0032671925146132,0.9830520153045654,0.013119869865477,0.9846011996269226,0.0118836537003517
5670,30,0.9963214993476868,0.0027398550882935,0.9845762848854064,0.01209032908082,0.9852320551872252,0.0113017717376351
1010,30,0.9969940185546876,0.0024096718989312,0.9844588041305542,0.0124598229303956,0.986107051372528,0.0108545226976275
